Component Count:,215,,,,,
Reference Designator,Quantity,Value,Footprint,Description,Manufacturer,MFPN
"C1, C2, C3, C4, C5, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C37, C38, C40, C41, C42, C43, C58, C67, C72, C73, C74, C77, C80, C82, C87, C88",43,220n,SMD:C_0603,"Capacitor, 0.220uF,x7r,50v,+/-10%, 0603",Samsung,CL10B224KB8VPNC
"C6, C7, C8, C9, C10, C11, C12, C13, C84, C85, C86",11,680p,SMD:C_0603,"Capacitor,680pF,50V,cog,0603,5%",Samsung,CL10C681JB8NNNC
"C36, C39",2,12p,SMD:C_0603,"Capacitor,12pF,cog,50v,0603,5%",Samsung,CL10C120JB8NNNC
"C44, C49, C52, C53, C54, C55, C56, C59, C60, C61, C62, C64, C65, C66, C89",15,10u,SMD:C_1206,"Capacitor,10uF,x7r,50v,1206,10%",Samsung,CL31B106KBHNNNE
"C45, C46, C47, C48, C50, C79",6,33n,SMD:C_0603,"Capacitor,0.033uf,x7r,50v,10%,0603",Samsung,CL10B333KB8WPNC
"C51, C57, C63",3,330u,SMD:c_elec_10x10.5,"Capacitor,Electrolytic,330µF,20%,35V,10x10.5",Nichicon,UCL1V331MNL1GS
"C68, C69, C70, C71",4,100u,SMD:c_elec_6.3x7.7,"Capacitor,Electrolytic,100µF,20%,35V,6.3x7.7",Nichicon,UCL1V101MCL6GS
D1,1,LM4040,SOT-23-3,IC VREF SHUNT 1% SOT23-3,Microchip Tech,LM4040DYM3-2.5-TR
"D2, D3",2,6V Zener,SOD-123,DIODE ZENER 6V 500MW SOD123,Diodes Inc,MMSZ5233B-7-F
D4,1,D_Zener,SMD:D_SMB,DIODE ZENER 30V 1.5W DO214AA,Vishay,SMZJ3800B-E3/52
"HS1, HS2",2,Heat_Sink,,Heat Sink TO-252 (DPak) Aluminum 0.8W @ 30°C Top Mount,Aavid,573100D00000G
IC1,1,ATMEGA16M1-A,TQFP-32,"IC,MCU,8Bit,32KB,Flash,32TQFP",Microchip Tech,ATMEGA32M1-AUR
J1,1,Conn_02x03,,"Connector,Header,2.54mm,02x03,Vertical,15.0uin Gold,Contact Mating Length=8.13mm",Molex,10977066
J6,1,Conn_02x02,,"Connector,Header,2.54mm,02x02,Vertical",Sullins,PRPC002DFAN-RC
P1,1,CONN_6,,"Connector,Header,2.54mm,01x06,Vertical,15.0uin Gold,Contact Mating Length=6.10mm",Molex,22284063
"P2, P9, P10",3,CONN_8,,"Connector,Header,2.54mm,01x08,Vertical,15.0uin Gold,Contact Mating Length=6.10mm",Molex,22284083
"P3, P6, P7",3,CONN_01X04,,"Connector,Header,Male,Shrouded 1-wall,2.65mm,Vertical",Sullins,SWR25X-NRTC-S04-ST-BA
"P4, P15",2,CONN_01X03,,"Connector,Header,2.54mm,01x03,Vertical,15.0uin Gold,Contact Mating Length=8.13mm",Molex,22284034
P5,1,CONN_01X05,,"Connector,Header,2.54mm,01x05,Vertical,15.0uin Gold,Contact Mating Length=8.13mm",Molex,22285054
